name,quantity,color
Bloodstained Mire,1,7
Marsh Flats,1,7
Misty Rainforest,1,7
Polluted Delta,4,7
Scalding Tarn,2,7
Wooded Foothills,3,7
Breeding Pool,1,7
Godless Shrine,4,7
Overgrown Tomb,1,7
Sacred Foundry,2,7
Steam Vents,1,7
Stomping Ground,1,7
Temple Garden,3,7
Watery Grave,3,7
Blooming Marsh,4,7
Botanical Sanctum,2,7
Concealed Courtyard,4,7
Inspiring Vantage,4,7
Spirebluff Canal,4,7
Razorverge Thicket,2,7
Wooded Bastion,1,7
Ancient Ziggurat,4,7
Cavern of Souls,3,7
Forbidden Orchard,1,7
Mana Confluence,1,7
Unclaimed Territory,2,7
Hissing Quagmire,2,7
Lumbering Falls,2,7
Mutavault,2,7
Needle Spires,3,7
Shambling Vent,1,7
Stirring Wildwood,1,7
Treetop Village,1,7
Wandering Fumarole,2,7
Dragonskull Summit,2,7
Drowned Catacomb,2,7
Isolated Chapel,1,7
Rootbound Crag,5,7
Sunpetal Grove,6,7
Cinder Glade,1,7
Temple of Mystery,1,7
Temple of Triumph,1,7
Eldrazi Temple,4,7
Eye of Ugin,1,7
Sanctum of Ugin,1,7
Brushland,4,7
Sulfurous Springs,1,7
Battlefield Forge,5,7
Caves of Koilos,1,7
llanowar Wastes,1,7
Yavimaya Coast,4,7
Ash Barrens,2,7
Canyon Slough,1,7
Scattered Groves,2,7
Bojuka Bog,1,7
Ghost Quarter,8,7
Inventors’ Fair,1,7
Kessig Wolf Run,1,7
Pendlehaven,1,7
Sea Gate Wreckage,1,7
Sejiri Steppe,1,7
Tectonic Edge,1,7
Windbrisk Heights,2,7
Search for Azcanta,2,1
"Teferi, Hero of Dominaria",2,1
"Jace, the Mind Sculptor",2,1
Logic Knot,1,1
Supreme Verdict,1,1
Detention Sphere,1,1
Vendilion Clique,1,1
Snapcaster Mage,3,1
Settle the Wreckage,1,1
Mana Leak,2,1
Opt,4,1
Serum Visions,2,1
Condemn,1,1
Cast Out,3,1
Path to Exile,4,1
Terminus,4,1
Cryptic Command,3,1
Flooded Strand,4,1
Hallowed Fountain,2,1
Glacial Fortress,1,1
Celestial Colonnade,4,1
Mystic Gate,1,1
Scalding Tarn,1,1
Field of Ruin,4,1
Celestial Purge,1,1
Ceremonious Rejection,1,1
Disdainful Stroke,1,1
Dispel,1,1
Surgical Extraction,1,1
Timely Reinforcements,1,1
Leyline of Sanctity,1,1
Rest in Peace,2,1
Engineered Explosives,1,1
Baneslayer Angel,1,1
Stony Silence,2,1
Damping Sphere,2,1
Walking Ballista,1,2
Noble Hierarch,4,2
Viscera Seer,1,2
Birds of Paradise,3,2
Tidehollow Sculler,4,2
Duskwatch Recruiter,3,2
Vizier of Remedies,4,2
Devoted Druid,4,2
Eternal Witness,3,2
Kitchen Finks,4,2
Tireless Tracker,2,2
Knight of Autumn,1,2
Chord of Calling,4,2
Collected Company,4,2
Verdant Catacombs,4,2
Windswept Heath,4,2
Temple Garden,2,2
Overgrown Tomb,2,2
Horizon Canopy,2,2
Razorverge Thicket,1,2
Gavony Township,2,2
Path to Exile,3,2
Abrupt Decay,2,2
Sin Collector,2,2
Eidolon of Rhetoric,2,2
Kor Firewalker,1,2
Remorseful Cleric,1,2
Spell Queller,4,3
Drogskol Captain,4,3
Geist of Saint Traft,3,3
Phantasmal Image,3,3
Supreme Phantom,4,3
Rattlechains,4,3
Selfless Spirit,4,3
Mausoleum Wanderer,4,3
Aether Vial,3,3
Cavern of Souls,1,3
Breeding Pool,1,3
Hallowed Fountain,2,3
Moorland Haunt,1,3
Botanical Sanctum,2,3
Misty Rainforest,3,3
Worship,2,3
Unified Will,2,3
Rest in Peace,2,3
Qasali Pridemage,1,3
Blessed Alliance,1,3
Maelstrom Wanderer,1,4
Brainstorm,1,4
Windswept Heath,1,4
Zealous Conscripts,1,4
"Venser, Shaper Savant",1,4
"Omnath, Locus of Rage",1,4
