name,quantity,color
Bloodstained Mire,1,7
Marsh Flats,1,7
Misty Rainforest,1,7
Polluted Delta,4,7
Scalding Tarn,2,7
Wooded Foothills,3,7
Breeding Pool,1,7
Godless Shrine,4,7
Overgrown Tomb,1,7
Sacred Foundry,2,7
Steam Vents,1,7
Stomping Ground,1,7
Temple Garden,3,7
Watery Grave,3,7
Blooming Marsh,4,7
Botanical Sanctum,2,7
Concealed Courtyard,4,7
Inspiring Vantage,4,7
Spirebluff Canal,4,7
Razorverge Thicket,2,7
Wooded Bastion,1,7
Ancient Ziggurat,4,7
Cavern of Souls,3,7
Forbidden Orchard,1,7
Mana Confluence,1,7
Unclaimed Territory,2,7
Hissing Quagmire,2,7
Lumbering Falls,2,7
Mutavault,2,7
Needle Spires,3,7
Shambling Vent,1,7
Stirring Wildwood,1,7
Treetop Village,1,7
Wandering Fumarole,2,7
Dragonskull Summit,2,7
Drowned Catacomb,2,7
Isolated Chapel,1,7
Rootbound Crag,5,7
Sunpetal Grove,6,7
Cinder Glade,1,7
Temple of Mystery,1,7
Temple of Triumph,1,7
Eldrazi Temple,4,7
Eye of Ugin,1,7
Sanctum of Ugin,1,7
Brushland,4,7
Sulfurous Springs,1,7
Battlefield Forge,5,7
Caves of Koilos,1,7
llanowar Wastes,1,7
Yavimaya Coast,4,7
Ash Barrens,2,7
Canyon Slough,1,7
Scattered Groves,2,7
Bojuka Bog,1,7
Ghost Quarter,8,7
Inventors’ Fair,1,7
Kessig Wolf Run,1,7
Pendlehaven,1,7
Sea Gate Wreckage,1,7
Sejiri Steppe,1,7
Tectonic Edge,1,7
Windbrisk Heights,2,7
