name,quantity,color,price,total
Bloodstained Mire,1,7,20.92,20.92
Marsh Flats,1,7,35.4,35.4
Misty Rainforest,1,7,43.33,43.33
Polluted Delta,4,7,16.02,64.08
Scalding Tarn,2,7,63.72,127.44
Wooded Foothills,3,7,22.1,66.30000000000001
Breeding Pool,1,7,11.32,11.32
Godless Shrine,4,7,8.7,34.8
Overgrown Tomb,1,7,7.27,7.27
Sacred Foundry,2,7,7.76,15.52
Steam Vents,1,7,9.86,9.86
Stomping Ground,1,7,13.33,13.33
Temple Garden,3,7,5.18,15.54
Watery Grave,3,7,8.44,25.32
Blooming Marsh,4,7,4.81,19.24
Botanical Sanctum,2,7,3.06,6.12
Concealed Courtyard,3,7,2.29,6.87
Inspiring Vantage,4,7,2.93,11.72
Spirebluff Canal,4,7,6.42,25.68
Razorverge Thicket,2,7,6.69,13.38
Wooded Bastion,1,7,16.93,16.93
Ancient Ziggurat,4,7,9.64,38.56
Cavern of Souls,3,7,70.0,210.0
Forbidden Orchard,1,7,6.83,6.83
Mana Confluence,1,7,8.26,8.26
Unclaimed Territory,2,7,1.54,3.08
Hissing Quagmire,2,7,1.65,3.3
Lumbering Falls,2,7,0.43,0.86
Mutavault,2,7,9.51,19.02
Needle Spires,3,7,0.51,1.53
Shambling Vent,1,7,1.21,1.21
Stirring Wildwood,1,7,0,0.0,USD was not listed for this card.
Treetop Village,1,7,0.16,0.16
Wandering Fumarole,2,7,1.04,2.08
Dragonskull Summit,2,7,3.81,7.62
Drowned Catacomb,2,7,6.34,12.68
Isolated Chapel,1,7,3.64,3.64
Rootbound Crag,5,7,3.0,15.0
Sunpetal Grove,6,7,5.84,35.04
Cinder Glade,1,7,2.56,2.56
Temple of Mystery,1,7,1.5,1.5
Temple of Triumph,1,7,1.58,1.58
Eldrazi Temple,4,7,6.75,27.0
Eye of Ugin,1,7,5.43,5.43
Sanctum of Ugin,1,7,0.47,0.47
Brushland,4,7,10.09,40.36
Sulfurous Springs,1,7,7.88,7.88
Battlefield Forge,5,7,0.76,3.8
Caves of Koilos,1,7,1.04,1.04
llanowar Wastes,1,7,1.02,1.02
Yavimaya Coast,4,7,1.19,4.76
Ash Barrens,2,7,2.1,4.2
Canyon Slough,1,7,1.95,1.95
Scattered Groves,2,7,1.61,3.22
Bojuka Bog,1,7,1.6,1.6
Ghost Quarter,8,7,1.76,14.08
Inventors’ Fair,1,7,3.06,3.06
Kessig Wolf Run,1,7,3.36,3.36
Pendlehaven,1,7,0,0.0,We couldn't find this card online. Check spelling.
Sea Gate Wreckage,1,7,0.34,0.34
Sejiri Steppe,1,7,0.14,0.14
Tectonic Edge,1,7,1.55,1.55
Windbrisk Heights,2,7,1.24,2.48
Search for Azcanta,2,1,16.92,33.84
"Teferi, Hero of Dominaria",2,1,48.22,96.44
