name,quantity,color,price,total
Abrade,4,4,1.49,5.96
Acidic Slime,1,5,0.09,0.09
Aether Vial,1,7,33.03,33.03
"Anafenza, Kin-Tree Spirit",1,1,0.83,0.83
Ancient Grudge,3,4,0.25,0.75
Ancient Stirrings,4,5,2.04,8.16
Aven Mindcensor,2,1,0.61,1.22
Beast Within,1,5,0.76,0.76
Birds of Paradise,1,5,7.23,7.23
Blessed Alliance,4,1,0.49,1.96
Blood Moon,4,4,16.77,67.08
Blossoming Defense,4,5,0.25,1.0
Brainstorm,1,2,0.61,0.61
"Brimaz, King of Oreskos",1,1,8.77,8.77
Burrenton Forge-Tender,1,1,0.18,0.18
Cast Out,1,1,0.1,0.1
Cataclysmic Gearhulk,1,1,0.61,0.61
Ceremonious Rejection,1,2,0.25,0.25
Chameleon Colossus,1,5,2.49,2.49
Champion of the Parish,4,1,4.2,16.8
"Chandra, Torch of Defiance",2,4,9.66,19.32
Coiling Oracle,4,6,0.12,0.48
Collective Brutality,4,3,15.42,61.68
Counterspell,4,2,1.14,4.56
Courser of Kruphix,4,5,3.81,15.24
Cryptic Command,1,2,20.44,20.44
Death's Shadow,1,3,9.11,9.11
Detention Sphere,2,6,1.98,3.96
Dismember,3,3,2.99,8.97
Dispel,4,2,0.2,0.8
Drowner of Hope,4,7,0.15,0.6
Dusk // Dawn,2,1,0.05,0.1
Duskwatch Recruiter,1,5,0.94,0.94
Eldrazi Displacer,4,7,2.29,9.16
Eldrazi Skyspawner,4,7,0.09,0.36
Eldritch Evolution,4,5,2.8,11.2
"Elspeth, Sun's Champion",1,1,6.99,6.99
Endbringer,1,7,0.49,0.49
Eternal Witness,1,5,6.9,6.9
Fatal Push,5,3,3.4,17.0
Felidar Guardian,4,1,0.25,1.0
Fiend Hunter,1,1,0.1,0.1
Fracturing Gust,1,6,9.99,9.99
Geist of Saint Traft,1,6,8.53,8.53
Gideon Jura,1,1,3.36,3.36
Gideon of the Trials,2,1,4.49,8.98
Gilded Lotus,1,7,2.51,2.51
Glorybringer,2,4,0.91,1.82
"Gonti, Lord of Luxury",1,3,0.36,0.36
Grafdigger's Cage,2,7,4.56,9.12
Inquisition of Kozilek,1,3,4.55,4.55
Izzet Staticaster,1,6,0.25,0.25
"Jace, Architect of Thought",2,2,1.84,3.68
"Kataki, War's Wage",2,1,3.99,7.98
"Keranos, God of Storms",1,6,7.38,7.38
"Kiki-Jiki, Mirror Breaker",1,4,6.92,6.92
Kitesail Freebooter,4,3,0.92,3.68
Knight of Autumn,1,6,4.44,4.44
Knight of the Reliquary,4,6,2.95,11.8
Kor Firewalker,1,1,0.19,0.19
"Kozilek, the Great Distortion",1,7,4.83,4.83
Lightning Bolt,7,4,2.43,17.01
"Linvala, Keeper of Silence",1,1,15.44,15.44
Loaming Shaman,1,5,0.41,0.41
Lotus Cobra,3,5,5.25,15.75
Maelstrom Pulse,1,6,20.09,20.09
Mana Leak,2,2,0.15,0.3
Mantis Rider,2,6,0.59,1.18
Matter Reshaper,4,7,1.56,6.24
Meddling Mage,4,6,24.27,97.08
Militia Bugler,1,1,0.25,0.25
Mirran Crusader,4,1,2.77,11.08
Mutagenic Growth,3,5,1.76,5.28
Natural State,2,5,0.12,0.24
Negate,2,2,0.1,0.2
"Nissa, Steward of Elements",1,6,2.95,2.95
"Nissa, Vital Force",1,5,3.99,3.99
Noxious Gearhulk,1,3,2.49,2.49
Oath of Nissa,4,5,0.79,3.16
Obstinate Baloth,2,5,1.22,2.44
Orzhov Pontiff,1,6,4.49,4.49
Panharmonicon,1,7,5.08,5.08
Pithing Needle,3,7,2.47,7.41
Qasali Pridemage,1,6,0.99,0.99
Reality Smasher,4,7,1.96,7.84
Reclamation Sage,2,5,0.3,0.6
Reflector Mage,4,6,0.79,3.16
