"Misty Rainforest","mm3","4","46.71"
"Misty Rainforest","zen","1","45.25"
"Verdant Catacombs","mm3","4","55.13"
"Scalding Tarn","mm3","4","73.19"
"Arid Mesa","mm3","1","37.62"
"Marsh Flats","mm3","2","35.3"
"Windswept Heath","ktk","4","13.23"
"Windswept Heath","ons","1","21.72"
"Wooded Foothills","ktk","4","21.18"
"Flooded Strand","ktk","4","18.26"
"Polluted Delta","ktk","4","18.32"
"Bloodstained Mire","ktk","2","22.25"
"Overgrown Tomb","rtr","3","6.28"
"Breeding Pool","gtc","2","12.19"
"Breeding Pool","dis","1","20.18"
"Stomping Ground","gtc","1","13.21"
"Stomping Ground","gpt","1","23.64"
"Sacred Foundry","gtc","2","7.1"
"Godless Shrine","gtc","5","9.23"
"Watery Grave","gtc","3","7.79"
"Hallowed Fountain","rtr","4","8.28"
"Steam Vents","rtr","3","11.34"
"Temple Garden","rtr","5","4.76"
"Tropical Island","3ed","1","312.85"
"Taiga","3ed","1","190.37"
"Botanical Sanctum","kld","4","2.93"
"Blooming Marsh","kld","4","4.59"
"Concealed Courtyard","kld","5","2.09"
"Inspiring Vantage","kld","4","2.72"
"Spirebluff Canal","kld","8","10.37"
"Razorverge Thicket","som","3","7.08"
"Celestial Colonnade","wwk","4","31.65"
"Stirring Wildwood","ddp","1","0.38"
"Hissing Quagmire","ogw","2","1.65"
"Lumbering Falls","bfz","2","0.46"
"Needle Spires","ogw","3","0.52"
"Shambling Vent","bfz","2","1.15"
"Wandering Fumarole","ogw","2","1.11"
"Mutavault","pgpx","2","7.5"
"Treetop Village","ulg","1","1.6"
"Mystic Gate","exp","1","58.05"
"Wooded Bastion","shm","1","17.62"
"Sulfur Falls","isd","1","11.55"
"Hinterland Harbor","isd","1","3.9"
"Dragonskull Summit","m13","2","3.37"
"Drowned Catacomb","xln","1","5.99"
"Drowned Catacomb","m10","1","6.2"
"Isolated Chapel","dom","1","3.71"
"Rootbound Crag","m10","1","3.14"
"Rootbound Crag","m11","1","2.92"
"Rootbound Crag","xln","4","3.04"
"Sunpetal Grove","m12","3","4.66"
"Sunpetal Grove","xln","3","4.85"
"Cinder Glade","bfz","2","2.65"
"Temple of Mystery","cp1","1","2.26"
"Temple of Triumph","ths","1","1.45"
"Temple of Silence","ths","1","2.06"
"Horizon Canopy","fut","1","80.91"
"Horizon Canopy","ima","1","65.15"
"Cavern of Souls","avr","3","59.3"
"Cavern of Souls","mm3","1","60.37"
"Ancient Ziggurat","con","4","8.51"
"Glacial Fortress","m10","1","5.33"
"Gavony Township","isd","2","4.17"
"Kessig Wolf Run","isd","2","3.31"
"Moorland Haunt","isd","1","0.49"
"Field of Ruin","xln","5","2.51"
"Forbidden Orchard","c16","1","6.03"
"Mana Confluence","jou","1","8.55"
"Unclaimed Territory","xln","3","1.42"
"Eldrazi Temple","ddp","4","5.02"
"Eye of Ugin","wwk","1","5.88"
"Sanctum of Ugin","bfz","1","0.53"
"Brushland","ice","4","5.41"
"Sulfurous Springs","ice","1","6.74"
"Battlefield Forge","apc","1","1.82"
"Battlefield Forge","ori","4","0.81"
"Yavimaya Coast","ori","4","1.2"
"Llanowar Wastes","ori","1","1.1"
"Caves of Koilos","m15","1","0.89"
"Caves of Koilos","ori","1","0.92"
"Seat of the Synod","c18","1","0.58"
"Seat of the Synod","c16","1","1.38"
"Great Furnace","c18","1","0.45"
"Geier Reach Sanitarium","emn","1","1.51"
"Academy Ruins","mma","1","20.16"
"Temple of the False God","c16","1","0.81"
"Myriad Landscape","a25","1","1.66"
"Ash Barrens","c16","2","2.0"
"Canyon Slough","akh","1","1.75"
"Scattered Groves","akh","2","1.58"
"Bojuka Bog","wwk","1","1.54"
"Sejiri Steppe","wwk","1","0.08"
"Ghost Quarter","dis","3","2.41"
"Ghost Quarter","isd","2","1.51"
"Ghost Quarter","c14","3","1.32"
"Tectonic Edge","wwk","2","1.38"
"Inventors' Fair","kld","2","2.87"
"Pendelhaven","a25","1","2.28"
"Sea Gate Wreckage","ogw","1","0.31"
"Windbrisk Heights","md1","3","1.16"
"Command Tower","cmd","1","1.38"
"Command Tower","c18","1","1.45"
"Command Tower","c15","1","1.36"
"Reliquary Tower","con","1","1.88"
"Temple of Epiphany","jou","2","1.83"
"Temple of Abandon","ths","1","0.84"
"Temple of Mystery","ths","1","1.51"
"Tainted Field","tor","1","0.62"
"Sheltered Thicket","akh","1","1.27"
"Westvale Abbey // Ormendahl, Profane Prince","soi","1","3.8"
"Noble Hierarch","mm2","4","52.84"
"Oath of Nissa","ogw","4","0.82"
"Path to Exile","con","5","7.67"
"Path to Exile","mm3","2","7.23"
"Lotus Cobra","zen","3","5.38"
"Lotus Cobra","ima","1","5.25"
"Coiling Oracle","mm3","4","0.14"
"Tireless Tracker","soi","4","8.42"
"Eternal Witness","c15","4","4.35"
"Eternal Witness","mma","1","4.38"
"Renegade Rallier","aer","2","0.14"
"Knight of Autumn","grn","4","2.44"
"Eldritch Evolution","emn","4","2.86"
"Saheeli Rai","kld","4","3.88"
"Felidar Guardian","aer","4","0.26"
"Shalai, Voice of Plenty","dom","1","2.82"
"Jace, the Mind Sculptor","wwk","2","94.17"
"Kiki-Jiki, Mirror Breaker","mma","2","8.02"
"Thragtusk","m13","2","2.11"
"Thragtusk","mm3","2","1.97"
"Rest in Peace","rtr","6","8.43"
"Stony Silence","isd","2","7.94"
"Mirran Crusader","mbs","4","2.28"
"Keranos, God of Storms","jou","1","6.93"
"Acidic Slime","ddm","1","0.2"
"Acidic Slime","m11","1","0.16"
"Acidic Slime","c15","1","0.25"
"Cataclysmic Gearhulk","kld","2","0.64"
"Eidolon of Rhetoric","jou","2","1.19"
"Assassin's Trophy","grn","2","11.4"
"Tidehollow Sculler","mma","2","1.19"
"Tidehollow Sculler","ala","2","1.34"
"Sin Collector","mm3","3","0.11"
"Kor Firewalker","wwk","2","0.38"
"Remorseful Cleric","m19","3","1.34"
"Viscera Seer","c13","1","2.14"
"Viscera Seer","m11","2","1.92"
"Birds of Paradise","m11","4","5.83"
"Vizier of Remedies","akh","4","0.26"
"Devoted Druid","shm","4","2.18"
"Duskwatch Recruiter // Krallenhorde Howler","soi","4","1.02"
"Kitchen Finks","shm","4","4.22"
"Walking Ballista","aer","2","14.41"
"Chord of Calling","m15","4","7.49"
"Celestial Purge","m10","1","0.1"
"Leyline of Sanctity","m11","1","17.28"
"Ceremonious Rejection","kld","2","0.46"
"Damping Sphere","dom","2","0.87"
"Engineered Explosives","mma","1","43.21"
"Surgical Extraction","nph","1","41.52"
"Baneslayer Angel","m10","1","11.27"
"Timely Reinforcements","m12","1","1.65"
"Terminus","mm3","3","3.35"
"Terminus","avr","1","3.78"
"Opt","xln","4","0.14"
"Cast Out","akh","5","0.09"
"Cryptic Command","ima","3","20.95"
"Cryptic Command","mm2","1","20.62"
"Snapcaster Mage","isd","2","56.31"
"Snapcaster Mage","mm3","2","55.88"
"Mana Leak","sth","4","0.4"
"Mana Leak","m11","1","0.25"
"Serum Visions","mm3","3","2.99"
"Settle the Wreckage","xln","1","5.86"
"Search for Azcanta // Azcanta, the Sunken Ruin","xln","2","13.29"
"Teferi, Hero of Dominaria","dom","2","47.27"
"Detention Sphere","rtr","3","1.94"
"Vendilion Clique","mm2","1","18.54"
"Dispel","bfz","4","0.18"
"Dispel","rtr","3","0.18"
"Logic Knot","fut","1","1.18"
"Supreme Verdict","rtr","3","3.46"
"Aether Vial","dst","4","33.86"
"Collected Company","dtk","4","17.87"
"Mausoleum Wanderer","emn","4","3.31"
"Phantasmal Image","mm3","3","17.61"
"Selfless Spirit","emn","4","4.18"
"Supreme Phantom","m19","4","2.04"
"Geist of Saint Traft","isd","4","10.32"
"Drogskol Captain","dka","4","2.91"
"Spell Queller","emn","4","6.92"
"Worship","usg","2","8.78"
"Thalia, Guardian of Thraben","dka","4","8.75"
"Unified Will","roe","3","2.32"
"Disdainful Stroke","grn","2","0.07"
"Anafenza, Kin-Tree Spirit","dtk","1","0.75"
"Apostle's Blessing","nph","3","0.25"
"Aven Mindcensor","akh","2","0.61"
"Blessed Alliance","emn","5","0.69"
"Brimaz, King of Oreskos","bng","1","7.54"
"Burrenton Forge-Tender","md1","1","0.45"
"Champion of the Parish","isd","4","3.41"
"Condemn","dis","1","0.4"
"Dusk // Dawn","akh","2","0.99"
"Elspeth, Sun's Champion","ths","1","8.58"
"Fiend Hunter","isd","1","0.14"
"Gideon Jura","m12","1","3.41"
"Gideon of the Trials","akh","2","4.48"
"Kataki, War's Wage","md1","2","3.89"
"Linvala, Keeper of Silence","mm3","1","14.67"
"Militia Bugler","m19","1","0.14"
"Restoration Angel","avr","1","2.09"
"Secure the Wastes","dtk","1","3.26"
"Sun Titan","c14","1","3.04"
"Thalia's Lieutenant","soi","4","1.85"
"Thalia, Heretic Cathar","emn","4","1.64"
"Annul","usg","3","0.19"
"Artful Dodge","dka","1","0.18"
"Augur of Bolas","mm3","4","0.54"
"Brainstorm","mmq","3","1.44"
"Brainstorm","ice","1","0.83"
"Counterspell","ema","4","1.1"
"Counterspell","tmp","1","0.98"
"Daze","nem","2","1.63"
"Delver of Secrets // Insectile Aberration","isd","4","1.45"
"Disallow","aer","1","2.9"
"Faerie Miscreant","ori","4","0.33"
"Gush","mmq","3","3.54"
"Gitaxian Probe","nph","4","1.39"
"Hydroblast","ice","1","1.1"
"Hydroblast","ema","3","1.39"
"Jace, Architect of Thought","rtr","3","1.73"
"Mulldrifter","mma","1","1.02"
"Ninja of the Deep Hours","bok","4","0.83"
"Ponder","lrw","4","2.03"
"Preordain","m11","4","2.8"
"Rattlechains","soi","4","1.13"
"Remand","ddm","3","4.79"
"Retreat to Coralhelm","bfz","2","0.12"
"Snap","ulg","3","0.76"
"Sower of Temptation","bbd","1","1.0"
"Spell Pierce","xln","2","0.15"
"Spell Pierce","zen","1","0.36"
"Spell Pierce","mm3","2","0.16"
"Spell Snare","dis","1","1.86"
"Spellstutter Sprite","lrw","3","1.7"
"Spellstutter Sprite","mma","2","1.76"
"Spreading Seas","zen","4","1.42"
"Stormbound Geist","dka","3","0.35"
"Stubborn Denial","ktk","4","0.83"
"Swan Song","ths","1","3.66"
"Tamiyo, the Moon Sage","avr","1","17.16"
"Vapor Snag","nph","2","0.59"
"Collective Brutality","emn","4","14.61"
"Death's Shadow","mm3","1","10.27"
"Dismember","nph","3","3.08"
"Fatal Push","aer","6","3.25"
"Gonti, Lord of Luxury","kld","3","0.37"
"Inquisition of Kozilek","mm3","1","4.25"
"Kitesail Freebooter","xln","4","0.59"
"Noxious Gearhulk","kld","2","2.98"
"Thoughtseize","ima","2","13.44"
"Abrade","hou","4","1.68"
"Ancient Grudge","isd","3","0.26"
"Anger of the Gods","ths","1","2.62"
"Blood Moon","mm3","3","14.21"
"Blood Moon","a25","1","15.87"
"Chandra, Torch of Defiance","kld","2","10.25"
"Glorybringer","akh","2","0.85"
"Lightning Bolt","m11","8","2.74"
"Temur Battle Rage","frf","3","0.38"
"Vandalblast","rtr","2","3.19"
"Ancient Stirrings","roe","4","2.91"
"Beast Within","pc2","1","2.11"
"Beast Within","cn2","1","1.36"
"Blossoming Defense","kld","4","0.44"
"Courser of Kruphix","bng","4","3.11"
"Chameleon Colossus","v13","1","2.96"
"Loaming Shaman","dis","1","0.64"
"Mutagenic Growth","nph","3","1.37"
"Natural State","ogw","2","0.12"
"Nissa, Vital Force","kld","1","4.13"
"Obstinate Baloth","m11","2","1.7"
"Ramunap Excavator","hou","2","3.28"
"Reclamation Sage","m15","2","0.31"
"Rhonas the Indomitable","akh","1","5.27"
"Scavenging Ooze","m14","4","3.62"
"Spike Feeder","tsb","1","0.53"
"Tarmogoyf","mm3","1","53.76"
"Thrashing Brontodon","rix","2","0.94"
"Thrun, the Last Troll","mbs","1","10.8"
"Wayward Swordtooth","rix","1","4.18"
"Abrupt Decay","rtr","2","2.3"
"Deafening Clarion","grn","2","1.67"
"Dromoka's Command","dtk","1","1.35"
"Fracturing Gust","shm","1","10.51"
"Izzet Staticaster","rtr","2","0.39"
"Kambal, Consul of Allocation","kld","2","0.91"
"Knight of the Reliquary","con","4","5.16"
"Loxodon Smiter","rtr","1","0.58"
"Maelstrom Pulse","arb","1","18.41"
"Mantis Rider","ktk","2","0.92"
"Meddling Mage","arb","4","20.85"
"Nissa, Steward of Elements","akh","1","2.57"
"Orzhov Pontiff","gpt","1","5.25"
"Qasali Pridemage","arb","2","1.19"
"Pharika, God of Affliction","jou","1","1.77"
"Renegade Rallier","f17","2","0.42"
"Reflector Mage","ogw","4","1.52"
"Sigarda, Heron's Grace","soi","1","0.56"
"Sigarda, Host of Herons","avr","1","8.95"
"Sphinx's Revelation","rtr","1","3.04"
"Steel of the Godhead","shm","1","1.96"
"Tamiyo, Field Researcher","emn","2","5.76"
"Unmoored Ego","grn","1","0.43"
"Voice of Resurgence","mm3","4","8.06"
"Whirler Virtuoso","kld","1","0.1"
"Zealous Persecution","ddk","1","0.2"
"Bonesplitter","mma","2","0.48"
"Drowner of Hope","bfz","4","0.14"
"Eldrazi Displacer","ogw","4","1.92"
"Eldrazi Skyspawner","bfz","4","0.07"
"Endbringer","ogw","1","0.59"
"Flayer Husk","mm2","1","0.12"
"Gilded Lotus","dom","2","2.63"
"Gilded Lotus","m13","1","2.72"
"Gilded Lotus","v13","1","6.3"
"Grafdigger's Cage","dka","2","4.76"
"Grafdigger's Cage","mm3","1","4.36"
"Kozilek, the Great Distortion","ogw","1","5.65"
"Matter Reshaper","ogw","4","1.45"
"Panharmonicon","kld","4","5.29"
"Pithing Needle","rtr","3","1.81"
"Reality Smasher","ogw","4","1.67"
"Relic of Progenitus","ala","4","3.63"
"Skysovereign, Consul Flagship","kld","1","0.45"
"Smuggler's Copter","kld","1","2.07"
"Sol Ring","3ed","1","9.9"
"Sol Ring","cmd","1","3.41"
"Sol Ring","c16","1","3.51"
"Sol Ring","c15","1","3.5"
"Solemn Simulacrum","c15","2","4.14"
"Solemn Simulacrum","m12","1","3.86"
"Solemn Simulacrum","c16","1","3.76"
"Spellskite","nph","2","7.14"
"Spire Golem","dst","4","0.43"
"Steel Hellkite","c18","1","0.5"
"Talisman of Progress","mrd","2","3.45"
"Thought-Knot Seer","ogw","4","5.58"
"Void Grafter","ogw","4","0.07"
"World Breaker","ogw","2","2.94"
"Cyclonic Rift","mm3","1","15.43"
"The Immortal Sun","rix","1","16.89"
"Selvala's Stampede","cn2","1","2.89"
"Dragonlord Atarka","dtk","1","4.53"
"Spell Swindle","xln","2","0.59"
"Skyshroud Claim","nem","1","0.39"
"Temporal Mastery","avr","1","10.24"
"Farseek","m13","1","0.31"
"Ranger's Path","m13","1","0.14"
"Kodama's Reach","c15","1","2.84"
"Omnath, Locus of Rage","bfz","1","3.58"
"Blasphemous Act","c14","1","2.77"
"Mind's Dilation","emn","1","3.76"
"Sunbird's Invocation","xln","1","1.21"
"Pathbreaker Ibex","c15","1","5.53"
"Balefire Dragon","isd","1","9.42"
"Mystic Confluence","c15","1","2.62"
"Cultivate","m11","1","0.84"
"Zendikar Resurgent","ogw","1","2.44"
"Bane of Progress","c15","1","6.08"
"Etherium-Horn Sorcerer","c15","1","0.14"
"Sensei's Divining Top","ema","1","21.79"
"Sensei's Divining Top","chk","1","17.94"
"Rampant Growth","m12","1","0.22"
"Greenwarden of Murasa","bfz","1","1.01"
"Palinchron","ulg","1","32.31"
"Crystal Shard","mrd","1","1.58"
"Duplicant","ema","1","1.35"
"Duplicant","c18","1","1.31"
"Deadeye Navigator","avr","1","3.01"
"Prime Speaker Zegana","gtc","1","3.24"
"Hellkite Tyrant","gtc","1","7.15"
"Part the Waterveil","bfz","1","1.06"
"Explosive Vegetation","cn2","1","0.94"
"Food Chain","mmq","1","40.93"
"Walk the Aeons","tsp","1","5.4"
"Temporal Manipulation","p02","1","74.21"
"Arcanis the Omnipotent","ema","1","0.73"
"Avenger of Zendikar","c13","1","3.38"
"Inferno Titan","c13","1","1.22"
"Zealous Conscripts","avr","1","0.75"
"Xenagos, God of Revels","bng","1","8.79"
"Mana Vault","3ed","1","27.01"
"Thran Dynamo","uds","1","4.78"
"Glen Elendra Archmage","mma","1","15.97"
"Rashmi, Eternities Crafter","kld","1","1.22"
"Consecrated Sphinx","mbs","1","12.24"
"Sphinx of Uthuun","m12","1","0.14"
"Scroll Rack","tmp","1","49.5"
"Time Warp","m10","1","12.56"
"Oracle of Mul Daya","zen","1","29.83"
"Venser, Shaper Savant","mm3","1","5.08"
"Venser, Shaper Savant","v13","1","5.3"
"Bloodbraid Elf","ema","1","2.21"
"Faithless Looting","ema","1","1.16"
"Unwinding Clock","c18","1","2.28"
"Thran Dynamo","v13","1","5.42"
"Combustible Gearhulk","kld","1","2.2"
"Whir of Invention","aer","1","2.27"
"Trash for Treasure","c16","1","0.71"
"Jace Beleren","lrw","1","6.63"
"Saheeli's Artistry","kld","1","0.12"
"Fact or Fiction","v13","1","1.22"
"Hellkite Tyrant","c16","1","6.15"
